Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average power (w),Max power (w),Min power (w),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Unknown duration (ms),Walking duration (ms),Running duration (ms),Stationary biking duration (ms),Hiking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),REM sleeping duration (ms),Awake mid-sleeping duration (ms)
2013-07-31,,,,,,,,,,,,,,,,,,,,67.0,67.0,67.0,,,,,,,,,,,,
2013-12-03,,,,,,,,,,,,,,,,,,,,58.0,58.0,58.0,,,,,,,,,,,,
2013-12-30,,1390.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,811.125,,,,,,,,,,,,,,,,,,55.599998474121094,55.599998474121094,55.599998474121094,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,,,,,,,
2014-11-15,,,,,,,,,,,,,,,,,,,56,61.0,61.0,61.0,,5832431,,,,,,,,,,
2014-11-16,,,,,,,,,,,,,,,,5.031780815574662,13.751994132995605,1.6933767795562744,2278,,,,,76974509,,,,,,,,,,
2014-11-17,,,,,,,,,,,,,,,,7.031004190444946,11.999152183532715,2.0628561973571777,1287,,,,,82615024,,389612,,,,,,,,
2014-11-18,,,,,,,,,,,,,,,,1.050218105316162,1.050218105316162,1.050218105316162,5995,,,,3191587,77560336,,2536489,,,,,,,,
2014-11-19,,,,,,,,,,,,,,,,4.345557286210101,8.879775047302246,0.5446241497993469,14984,,,,3326617,64536017,,7256363,,,,,,,,
2014-11-20,,,,,,,,,,,,,,,,1.1195917129516602,1.1195917129516602,1.1195917129516602,11198,,,,1411555,69835136,,5635876,,,,,,,,
2014-11-21,,,,,,,,,,,,,,,,0.9236748583300932,1.5958466529846191,0.5673906803131104,2516,,,,,74816296,,933290,,,,,,,,
2014-11-22,,,,,,,,,,,,,,,,16.30801010131836,16.30801010131836,16.30801010131836,303,,,,,84907445,,,,,,,,,,
2014-11-23,,,,,,,,,,,,,,,,8.387954711914062,8.387954711914062,8.387954711914062,427,,,,,81625130,,,,,,,,,,
2014-11-24,,,,,,,,,,,,,,,,2.9236359543231254,9.585428237915039,0.5680468678474426,3132,,,,2211318,77752519,,1537864,,,,,,,,
2014-11-25,,,,,,,,,,,,,,,,,,,14023,,,,2810021,70557188,,5882655,201932,,,,,,,
2014-11-26,,,11229.975127551737,,,,,,,,,,,,,2.3849987983703613,2.3849987983703613,2.3849987983703613,2715,,,,2470386,82347703,,1082250,,,,,,,,
2014-11-27,,,26059.468959797487,,,,,,,,,,,,,1.5698713547315701,15.383191108703613,0.6607888340950012,7721,,,,,79656337,,3429054,60049,,,,,,,
2014-11-28,,,4508.649278671207,,,,,,,,,,,,,2.7140825408177296,5.524229049682617,0.603074312210083,2552,,,,,79897599,,967304,,,,,,,,
2014-11-29,,,15494.241184278142,,,,,,,,,,,,,,,,1145,,,,,84734015,,490065,,,,,,,,
2014-11-30,,,4660.25595452413,,,,,,,,,,,,,,,,2285,,,,,82420280,,949121,,,,,,,,
2014-12-01,,,3324.3163517213206,,,,,,,,,,,,,2.1966655254364014,2.1966655254364014,2.1966655254364014,1127,,,,,82832277,,,,,,,,,,
2014-12-02,,,66580.5731626824,,,,,,,,,,,,,2.2119054794311523,2.2119054794311523,2.2119054794311523,12191,,,,,76977986,,5411167,180151,,,,,,,
2014-12-03,,,34161.4992196553,,,,,,,,,,,,,1.5683542472865537,2.1034622192382812,1.2470786571502686,13088,,,,,72347426,,5929573,,,,,,,,
2014-12-04,,,21473.548075788545,,,,,,,,,,,,,,,,10000,,,,,75495899,,5028987,60070,,,,,,,
2014-12-05,,,5172.476866237935,,,,,,,,,,,,,,,,495,,,,,86279847,,,120153,,,,,,,
2014-12-06,,,57506.25837415233,,,,,,,,,,,,,2.059551059004005,4.924124240875244,0.8488492369651794,16965,,,,,67458493,,7254045,120121,,,,,,,
2014-12-07,,,1379.6113558433992,,,,,,,,,,,,,,,,58,,,,,45479006,,,,,,,,,,
2015-01-25,,1365.5597222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,1427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,1427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,1427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,1427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,1427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,,1427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,61.44027777777778,,,,,,,,,,,,,,,,,,63.0,63.0,63.0,,,,,,,,,,,,
2015-11-23,,1216.8908299016205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-24,,1400.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-25,,1400.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-26,,1400.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-27,,1400.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-28,,1400.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-29,,1400.7499460611987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-30,,2047.6937233694714,11145.597143426538,,,,,,,,,,,,,1.4474500570641868,12.0,0.5,10896,69.0,69.0,69.0,1270175,59245385,,5142076,1401308,,,,,,,
2015-12-01,,1817.2727343202307,6012.619010925293,,,,,,,,,,,,,3.5433661310256968,7.0,1.0,5640,,,,1618220,79724578,,3310245,,,,,,,,
2015-12-02,,2126.1244896403036,10140.385613441467,,,,,,,,,,,,,2.427477152538417,6.600189208984375,0.5,10058,,,,3659549,69862207,,5409341,,,,,,,,
2015-12-03,,1480.7499678962206,,,,,,,,,,,,,,0.7529321162666605,1.6770509481430054,0.5,93,,,,,86400000,,,,,,,,,,
2015-12-04,,1711.6139108716734,885.8108842372894,,,,,,,,,,,,,0.9660820960998535,1.0307763814926147,0.9013878107070923,2392,,,,1672740,82640595,,1321104,,,,,,,,
2015-12-05,,1519.2043999840284,315.04034209251404,,,,,,,,,,,,,,,,1180,,,,,84417578,,690446,,,,,,,,
2015-12-06,,1480.74995650633,,,,,,,,,,,,,,0.8143116849844142,1.8027756214141846,0.5,217,,,,,81532853,,,,,,,,,,
2015-12-07,,2165.820248367277,4433.685345649719,,,,,,,,,,,,,1.409254424356158,2.3048861026763916,0.5,7443,,,,4339220,70632954,,4974603,,,,,,,,
2015-12-08,,1487.790800107013,51.58225107192993,,,,,,,,,,,,,0.8268612187998373,1.75,0.5,1536,,,,,85069672,,126418,,,,,,,,
